Episode 1/1000 - Epsilon: 0.9990, Overall Total Reward: 695
Episode 2/1000 - Epsilon: 0.9797, Overall Total Reward: 800
Episode 3/1000 - Epsilon: 0.9474, Overall Total Reward: 1230
Episode 4/1000 - Epsilon: 0.9021, Overall Total Reward: 1645
Episode 5/1000 - Epsilon: 0.8842, Overall Total Reward: 870
Episode 1/1000 - Epsilon: 1.0000, Overall Total Reward: 470
Episode 2/1000 - Epsilon: 0.9930, Overall Total Reward: 620
Episode 3/1000 - Epsilon: 0.9768, Overall Total Reward: 695
Episode 4/1000 - Epsilon: 0.9541, Overall Total Reward: 880
Episode 5/1000 - Epsilon: 0.9075, Overall Total Reward: 1650
Episode 6/1000 - Epsilon: 0.8789, Overall Total Reward: 1140
Episode 7/1000 - Epsilon: 0.8633, Overall Total Reward: 725
Episode 8/1000 - Epsilon: 0.8462, Overall Total Reward: 765
Episode 9/1000 - Epsilon: 0.8307, Overall Total Reward: 765
Episode 10/1000 - Epsilon: 0.8224, Overall Total Reward: 490
Episode 11/1000 - Epsilon: 0.8041, Overall Total Reward: 845
Episode 12/1000 - Epsilon: 0.7516, Overall Total Reward: 2240
Episode 13/1000 - Epsilon: 0.7378, Overall Total Reward: 765
Episode 14/1000 - Epsilon: 0.7297, Overall Total Reward: 510
Episode 15/1000 - Epsilon: 0.6814, Overall Total Reward: 2200
Episode 16/1000 - Epsilon: 0.6682, Overall Total Reward: 785
Episode 17/1000 - Epsilon: 0.6573, Overall Total Reward: 680
Episode 18/1000 - Epsilon: 0.6443, Overall Total Reward: 735
Episode 19/1000 - Epsilon: 0.6293, Overall Total Reward: 910
Episode 20/1000 - Epsilon: 0.6234, Overall Total Reward: 495
Episode 21/1000 - Epsilon: 0.6126, Overall Total Reward: 745
Episode 22/1000 - Epsilon: 0.6025, Overall Total Reward: 725
Episode 23/1000 - Epsilon: 0.5868, Overall Total Reward: 1015
Episode 24/1000 - Epsilon: 0.5743, Overall Total Reward: 840
Episode 25/1000 - Epsilon: 0.5671, Overall Total Reward: 540
Episode 26/1000 - Epsilon: 0.5618, Overall Total Reward: 525
Episode 27/1000 - Epsilon: 0.5504, Overall Total Reward: 835
Episode 28/1000 - Epsilon: 0.5435, Overall Total Reward: 600
Episode 29/1000 - Epsilon: 0.5328, Overall Total Reward: 750
Episode 30/1000 - Epsilon: 0.5251, Overall Total Reward: 580
Episode 31/1000 - Epsilon: 0.5170, Overall Total Reward: 660
Episode 32/1000 - Epsilon: 0.5012, Overall Total Reward: 1135
Episode 33/1000 - Epsilon: 0.4850, Overall Total Reward: 1130
Episode 34/1000 - Epsilon: 0.4725, Overall Total Reward: 990
Episode 35/1000 - Epsilon: 0.4625, Overall Total Reward: 780
Episode 36/1000 - Epsilon: 0.4576, Overall Total Reward: 545
Episode 37/1000 - Epsilon: 0.4510, Overall Total Reward: 640
Episode 38/1000 - Epsilon: 0.4439, Overall Total Reward: 625
Episode 39/1000 - Epsilon: 0.4399, Overall Total Reward: 455
Episode 40/1000 - Epsilon: 0.4336, Overall Total Reward: 595
Episode 41/1000 - Epsilon: 0.4273, Overall Total Reward: 655
Episode 42/1000 - Epsilon: 0.4010, Overall Total Reward: 2070
Episode 43/1000 - Epsilon: 0.3974, Overall Total Reward: 440
Episode 44/1000 - Epsilon: 0.3886, Overall Total Reward: 845
Episode 45/1000 - Epsilon: 0.3756, Overall Total Reward: 1180
Episode 46/1000 - Epsilon: 0.3610, Overall Total Reward: 1395
Episode 47/1000 - Epsilon: 0.3578, Overall Total Reward: 485
Episode 48/1000 - Epsilon: 0.3530, Overall Total Reward: 605
Episode 49/1000 - Epsilon: 0.3476, Overall Total Reward: 645
Episode 50/1000 - Epsilon: 0.3390, Overall Total Reward: 910
Episode 51/1000 - Epsilon: 0.3341, Overall Total Reward: 610
Episode 52/1000 - Epsilon: 0.3301, Overall Total Reward: 605
Episode 53/1000 - Epsilon: 0.3259, Overall Total Reward: 595
Episode 54/1000 - Epsilon: 0.3220, Overall Total Reward: 530
Episode 55/1000 - Epsilon: 0.3167, Overall Total Reward: 650
Episode 56/1000 - Epsilon: 0.3046, Overall Total Reward: 1340
Episode 57/1000 - Epsilon: 0.2946, Overall Total Reward: 1245
Episode 58/1000 - Epsilon: 0.2868, Overall Total Reward: 970
Episode 59/1000 - Epsilon: 0.2820, Overall Total Reward: 675
Episode 60/1000 - Epsilon: 0.2785, Overall Total Reward: 540
Episode 61/1000 - Epsilon: 0.2699, Overall Total Reward: 1100
Episode 62/1000 - Epsilon: 0.2652, Overall Total Reward: 760
Episode 63/1000 - Epsilon: 0.2628, Overall Total Reward: 455
Episode 64/1000 - Epsilon: 0.2602, Overall Total Reward: 475
Episode 65/1000 - Epsilon: 0.2531, Overall Total Reward: 975
Episode 66/1000 - Epsilon: 0.2507, Overall Total Reward: 510
Episode 67/1000 - Epsilon: 0.2384, Overall Total Reward: 1705
Episode 68/1000 - Epsilon: 0.2292, Overall Total Reward: 1395
Episode 69/1000 - Epsilon: 0.2250, Overall Total Reward: 645
Episode 70/1000 - Epsilon: 0.2202, Overall Total Reward: 840
Episode 71/1000 - Epsilon: 0.2172, Overall Total Reward: 575
Episode 72/1000 - Epsilon: 0.2126, Overall Total Reward: 855
Episode 73/1000 - Epsilon: 0.2094, Overall Total Reward: 650
Episode 74/1000 - Epsilon: 0.2017, Overall Total Reward: 1325
Episode 75/1000 - Epsilon: 0.1905, Overall Total Reward: 1880
Episode 76/1000 - Epsilon: 0.1884, Overall Total Reward: 520
Episode 77/1000 - Epsilon: 0.1853, Overall Total Reward: 680
Episode 78/1000 - Epsilon: 0.1811, Overall Total Reward: 855
Episode 79/1000 - Epsilon: 0.1775, Overall Total Reward: 810
Episode 80/1000 - Epsilon: 0.1746, Overall Total Reward: 695
Episode 81/1000 - Epsilon: 0.1715, Overall Total Reward: 770
Episode 82/1000 - Epsilon: 0.1680, Overall Total Reward: 820
Episode 83/1000 - Epsilon: 0.1635, Overall Total Reward: 1025
Episode 84/1000 - Epsilon: 0.1615, Overall Total Reward: 575
Episode 85/1000 - Epsilon: 0.1582, Overall Total Reward: 845
Episode 86/1000 - Epsilon: 0.1562, Overall Total Reward: 570
Episode 87/1000 - Epsilon: 0.1502, Overall Total Reward: 1340
Episode 88/1000 - Epsilon: 0.1482, Overall Total Reward: 570
Episode 89/1000 - Epsilon: 0.1439, Overall Total Reward: 1020
Episode 90/1000 - Epsilon: 0.1423, Overall Total Reward: 550
Episode 91/1000 - Epsilon: 0.1392, Overall Total Reward: 835
Episode 92/1000 - Epsilon: 0.1339, Overall Total Reward: 1340
Episode 93/1000 - Epsilon: 0.1327, Overall Total Reward: 470
Episode 94/1000 - Epsilon: 0.1305, Overall Total Reward: 685
Episode 95/1000 - Epsilon: 0.1291, Overall Total Reward: 525
Episode 96/1000 - Epsilon: 0.1275, Overall Total Reward: 525
Episode 97/1000 - Epsilon: 0.1242, Overall Total Reward: 1020
Episode 98/1000 - Epsilon: 0.1197, Overall Total Reward: 1265
Episode 99/1000 - Epsilon: 0.1184, Overall Total Reward: 495
Episode 100/1000 - Epsilon: 0.1164, Overall Total Reward: 635
Episode 101/1000 - Epsilon: 0.1126, Overall Total Reward: 1200
Episode 102/1000 - Epsilon: 0.1098, Overall Total Reward: 955
Episode 103/1000 - Epsilon: 0.1073, Overall Total Reward: 870
Episode 104/1000 - Epsilon: 0.1043, Overall Total Reward: 1000
Episode 105/1000 - Epsilon: 0.1021, Overall Total Reward: 880
Episode 106/1000 - Epsilon: 0.1002, Overall Total Reward: 810
Episode 107/1000 - Epsilon: 0.0987, Overall Total Reward: 675
Episode 108/1000 - Epsilon: 0.0972, Overall Total Reward: 680
Episode 109/1000 - Epsilon: 0.0949, Overall Total Reward: 880
Episode 110/1000 - Epsilon: 0.0938, Overall Total Reward: 545
Episode 111/1000 - Epsilon: 0.0925, Overall Total Reward: 585
Episode 112/1000 - Epsilon: 0.0906, Overall Total Reward: 845
Episode 113/1000 - Epsilon: 0.0885, Overall Total Reward: 870
Episode 114/1000 - Epsilon: 0.0848, Overall Total Reward: 1470
Episode 115/1000 - Epsilon: 0.0835, Overall Total Reward: 565
